id,label,media_type
http://publications.europa.eu/resource/authority/file-type/RTF,RTF,http://www.iana.org/assignments/media-types/application/rtf
,S3,http://aws.amazon.com/documentation/s3/
,SAS,http://www.ogcnetwork.net/SAS
http://publications.europa.eu/resource/authority/file-type/SB3,SB3,http://www.iana.org/assignments/media-types/application/sarif+json
http://publications.europa.eu/resource/authority/file-type/SCHEMA_XML,SCHEMA_XML,
http://publications.europa.eu/resource/authority/file-type/SDMX,SDMX,
,SEARCH,
,SERVICE,
http://publications.europa.eu/resource/authority/file-type/SGML,SGML,http://www.iana.org/assignments/media-types/application/SGML
http://publications.europa.eu/resource/authority/file-type/SHP,SHP,http://www.iana.org/assignments/media-types/application/vnd.shp
http://publications.europa.eu/resource/authority/file-type/SKOS_XML,SKOS_XML,
,SOS,http://www.opengis.net/def/serviceType/ogc/sos
http://publications.europa.eu/resource/authority/file-type/SPARQLQ,SPARQLQ,http://www.iana.org/assignments/media-types/application/sparql-query
http://publications.europa.eu/resource/authority/file-type/SPARQLQRES,SPARQLQRES,http://www.iana.org/assignments/media-types/application/sparql-results+xml
,SPS,http://www.opengeospatial.org/standards/sps
http://publications.europa.eu/resource/authority/file-type/SQL,SQL,http://www.iana.org/assignments/media-types/application/sql
,STAC,http://stacspec.org
http://publications.europa.eu/resource/authority/file-type/STL,STL,
http://publications.europa.eu/resource/authority/file-type/SVG,SVG,http://www.iana.org/assignments/media-types/application/stix+json
http://publications.europa.eu/resource/authority/file-type/SWM,SWM,http://www.iana.org/assignments/media-types/application/swid+xml
http://publications.europa.eu/resource/authority/file-type/TAB,TAB,
http://publications.europa.eu/resource/authority/file-type/TAB_RSTR,TAB_RSTR,
,TABLEDAP,http://coastwatch.pfeg.noaa.gov/erddap/tabledap/documentation.html
http://publications.europa.eu/resource/authority/file-type/TAR,TAR,
http://publications.europa.eu/resource/authority/file-type/TAR_GZ,TAR_GZ,http://www.iana.org/assignments/media-types/application/vnd.cncf.helm.chart.content.v1.tar+gzip
http://publications.europa.eu/resource/authority/file-type/TAR_XZ,TAR_XZ,
,TEMPLATE,http://tools.ietf.org/html/rfc6570
,THREDDS,http://www.unidata.ucar.edu/namespaces/thredds/InvCatalog/v1.0
http://publications.europa.eu/resource/authority/file-type/TIFF,TIFF,http://www.iana.org/assignments/media-types/image/tiff
http://publications.europa.eu/resource/authority/file-type/TIFF_FX,TIFF_FX,
,TILEJSON,
,TMS,http://wiki.osgeo.org/wiki/Tile_Map_Service_Specification
http://publications.europa.eu/resource/authority/file-type/TMX,TMX,
http://publications.europa.eu/resource/authority/file-type/TSV,TSV,http://www.iana.org/assignments/media-types/text/tab-separated-values
http://publications.europa.eu/resource/authority/file-type/RDF_TURTLE,TTL,http://www.iana.org/assignments/media-types/text/turtle
http://publications.europa.eu/resource/authority/file-type/TXT,TXT,
http://publications.europa.eu/resource/authority/file-type/UNGEN,UNGEN,
http://publications.europa.eu/resource/authority/file-type/WAR,WAR,
http://publications.europa.eu/resource/authority/file-type/WARC,WARC,
http://publications.europa.eu/resource/authority/file-type/WARC_GZ,WARC_GZ,
http://publications.europa.eu/resource/authority/file-type/WAV,WAV,
http://publications.europa.eu/resource/authority/file-type/WCS_SRVC,WCS,
http://publications.europa.eu/resource/authority/file-type/WCS_SRVC,WCS_SRVC,
http://publications.europa.eu/resource/authority/file-type/WEBP,WEBP,
http://publications.europa.eu/resource/authority/file-type/WFS_SRVC,WFS,http://www.opengis.net/def/serviceType/ogc/wfs
http://publications.europa.eu/resource/authority/file-type/WFS_SRVC,WFS_SRVC,http://www.opengis.net/def/serviceType/ogc/wfs
,WFS-G,http://www.opengeospatial.org/standards/wfs-g
http://publications.europa.eu/resource/authority/file-type/WIM,WIM,
http://publications.europa.eu/resource/authority/file-type/WMS_SRVC,WMS,http://www.opengis.net/def/serviceType/ogc/wms
http://publications.europa.eu/resource/authority/file-type/WMS_SRVC,WMS_SRVC,http://www.opengis.net/def/serviceType/ogc/wms
,WMS-C,http://www.opengis.net/def/serviceType/ogc/wms
http://publications.europa.eu/resource/authority/file-type/WMTS_SRVC,WMTS,http://www.opengeospatial.org/standards/wmts
http://publications.europa.eu/resource/authority/file-type/WMTS_SRVC,WMTS_SRVC,http://www.opengeospatial.org/standards/wmts
,WNS,http://www.ogcnetwork.net/WNS
http://publications.europa.eu/resource/authority/file-type/WORLD,WORLD,
,WPS,http://www.opengis.net/def/serviceType/ogc/wps
,WSDL,http://www.w3.org/TR/wsdl
http://publications.europa.eu/resource/authority/file-type/XHTML,XHTML,
http://publications.europa.eu/resource/authority/file-type/XHTML_SIMPL,XHTML_SIMPL,
http://publications.europa.eu/resource/authority/file-type/XHTML5,XHTML5,
http://publications.europa.eu/resource/authority/file-type/XLIFF,XLIFF,
http://publications.europa.eu/resource/authority/file-type/XLS,XLS,http://www.iana.org/assignments/media-types/application/vnd.ms-excel
http://publications.europa.eu/resource/authority/file-type/XLSB,XLSB,
